rank,rating_numeric,num_played,player_id,summoner_region,riot_id,puuid,rating,live.encryption_key,live.game_start_time,live.match_id,live.player_id,live.type,stats.RecentResult.ItemData.AD,stats.RecentResult.ItemData.AP,stats.RecentResult.ItemData.Tank,stats.RecentResult.avg_similarity,stats.RecentResult.board_strength_percentile_sum,stats.RecentResult.damage_percentile_sum,stats.RecentResult.lpChange,stats.RecentResult.num_played,stats.RecentResult.percentile_count,stats.RecentResult.place_sum,stats.RecentResult.topCarries,stats.RecentResult.wins,stats.appMatches,stats.currentPatchResult.ItemData.AD,stats.currentPatchResult.ItemData.AP,stats.currentPatchResult.ItemData.Tank,stats.currentPatchResult.avg_similarity,stats.currentPatchResult.board_strength_percentile_sum,stats.currentPatchResult.damage_percentile_sum,stats.currentPatchResult.lpChange,stats.currentPatchResult.num_played,stats.currentPatchResult.percentile_count,stats.currentPatchResult.place_sum,stats.currentPatchResult.topCarries,stats.currentPatchResult.wins,stats.num_played,stats.place_sum,stats.wins
613,3977,890,140269908,vn2,EA3 Rain đã căng#0903,oHMLjRLiTV5hrVuArrNavCI7sYYzAMOyz-1Rccz-HPZZ4sVMoOfgXsNISTJIjO30OcFtHdiijrO_Mw,CHALLENGER I 1177 LP,,,,,,52,79,118,0.1513,1088,1103,79,20,20,80,[],3,False,,,,,,,,,,,,,890,3844,124
614,3977,1655,314184952,vn2,Kinh Điển#1528,qW_ba3Jb9y4q-s2-FmUJv4bJ0byl6P_GOlccrLPDqK1k0-ap_eyR_9fua4PvL7H4DLAPyFpLysI5Bg,CHALLENGER I 1177 LP,,,,,,97,73,115,0.4175,1067,887,50,20,20,79,"[{""character_id"": ""TFT15_Ashe"", ""count"": 10, ""avg"": 4.5}, {""character_id"": ""TFT15_LeeSin"", ""count"": 10, ""avg"": 3.5454545454545454}]",3,False,36,24,39,0.682,402,205,-61,7,7,33,"[{""character_id"": ""TFT15_Ashe"", ""count"": 7, ""avg"": 4.714285714285714}, {""character_id"": ""TFT15_LeeSin"", ""count"": 4, ""avg"": 3.25}]",1,1655,7189,238
615,3977,281,211911042,vn2,YOT Miyuki#Shiro,CR_Ub-YsghkXH9pLlHP5NJKkDejIfXxVMoxQdish501IMRQVlHTHtZCEd2ug7Galvy-vB7maFcfM2w,CHALLENGER I 1177 LP,,,,,,53,76,116,0.2051,1096,1164,125,20,20,75,[],5,True,,,,,,,,,,,,,281,1105,57
616,3977,589,440569609,kr,jonoah#KR1,YYrq0-zsCFxoJj0oS8ea38-HFShXdBMlAje2fIAObpKfZ81Ttu2u-KJ-NoQQgNqsqPejZGmsjDImxA,CHALLENGER I 1177 LP,,,,,,85,68,95,0.2126,852,903,-184,20,20,93,"[{""character_id"": ""TFT15_LeeSin"", ""count"": 9, ""avg"": 2.3333333333333335}]",3,False,6,10,16,0.0625,107,187,-67,3,3,17,"[{""character_id"": ""TFT15_KSante"", ""count"": 2, ""avg"": 5}]",0,589,2514,89
617,3977,608,2015429,kr,Yoo Jin#KR1,6U0ArQosFdA0EOxkO7eZ9v0th_3xoDyGARHysO7dIWKGB2VKTcC1lMszx45hwujKxKfryKiGGnp8ag,CHALLENGER I 1177 LP,,,,,,61,89,100,0.2306,854,1279,-45,20,20,85,[],3,False,,,,,,,,,,,,,608,2532,100
618,3977,699,138246621,tw2,威賊若回頭#cod1y,t97rmFgEv77SUVkUhRa2M0qhx7upUVtYJ_EJWQm7QglpmG0R3melCBBrAijJ9oi89fJDSzCPGRX3GQ,CHALLENGER I 1177 LP,,,,,,100,61,125,0.3603,1067,901,37,20,20,70,"[{""character_id"": ""TFT15_LeeSin"", ""count"": 8, ""avg"": 2.5}]",8,True,,,,,,,,,,,,,699,2764,141
619,3976,728,4457100,euw1,Kachaxie#EUW,5M9qCWPN6CE2AWAT74CWhDBq_VE6-U0eJ88q6ODuRXFBBKerw5ufaANbBy-18XD9LjrasRBFfw0bxA,CHALLENGER I 1176 LP,,,,,,75,86,114,0.1493,1089,1100,229,20,20,66,[],7,False,,,,,,,,,,,,,728,3061,113
620,3975,675,4458000,eun1,O BABAS SOU#EUNE,dcAAlpfAwOLtIftBJAAVRoKjNgGya7FX1s87ie8zRAyEOKsCOgpRfPQv_12WYWJR_qElQ1aD9MQkmw,CHALLENGER I 1175 LP,,,,,,60,82,95,0.2225,944,1054,-7,20,20,76,"[{""character_id"": ""TFT15_KSante"", ""count"": 8, ""avg"": 3.6}]",5,False,0,6,6,0,13,90,10,1,1,4,"[{""character_id"": ""TFT15_Malzahar"", ""count"": 1, ""avg"": 4}, {""character_id"": ""TFT15_KSante"", ""count"": 1, ""avg"": 4}]",0,675,2800,152
621,3975,370,962518,la1,BBL Misaka#BBL,H9TUVDnkYYPTqKby0iTwzRa0PIWJzUQLO15o431xW-7Iqjb_0l5HXYlffFwYE1kXt2h1YWrvpkmZ3w,CHALLENGER I 1175 LP,,,,,,71,54,106,0.1637,746,822,-77,20,20,80,"[{""character_id"": ""TFT15_TwistedFate"", ""count"": 8, ""avg"": 3.25}]",2,False,,,,,,,,,,,,,370,1411,57
622,3975,342,138041546,vn2,Arcane#1102,2yTP7w37zcZgnBVNG3V_rn_Fw28pN2umeZPJW_2xO_qgZkoAESNUCPiTvp7GKyEliY3-Ok3bYW9G_Q,CHALLENGER I 1175 LP,DXSTjwugUGlaAXQzIe5Hv9i6iwFYhnLm,1762357970763,VN2_1117582089,138041546,leaderboard,70,76,102,,845,775,270,20,20,69,[],3,False,,,,,,,,,,,,,342,1398,56
